,municipality,county,state,road_name,extended_name,opening_hours,contact_mobile,winter_room,capacity,website,email,boundingbox,display_name,type_description,geometry
56,,Belluno,Veneto,Ferrata Gianni Aglio,Camillo Giussani,,,,,https://www.rifugiogiussani.com/,,"['46.5445792', '46.5447458', '12.0606862', '12.060924']","Camillo Giussani, Ferrata Gianni Aglio, Cortina d'Ampezzo, Belluno, Veneto, Italia",alpine_hut,POINT (12.060805123869773 46.54466255)
57,,Belluno,Veneto,Ferrata Ra Gusela,Rifugio Nuvolau,,,,,,,"['46.4951308', '46.4953021', '12.0455644', '12.0458399']","Rifugio Nuvolau, Ferrata Ra Gusela, Cortina d'Ampezzo, Belluno, Veneto, Italia",alpine_hut,POINT (12.045702161024014 46.4952253)
58,,Belluno,Veneto,Sentiero dei Mar,Rifugio Giuseppe Volpi di Misurata al Mulaz,,,,,,,"['46.3113174', '46.3115309', '11.8381099', '11.8383052']","Rifugio Giuseppe Volpi di Misurata al Mulaz, Sentiero dei Mar, Falcade, Belluno, Veneto, Italia",alpine_hut,POINT (11.838214420787452 46.311433300000004)
59,,Belluno,Veneto,Sentiero Durissini,Rifugio Fonda Savio,,,,,https://www.fonda-savio.it/,,"['46.5852089', '46.5853668', '12.2873271', '12.2874871']","Rifugio Fonda Savio, Sentiero Durissini, Auronzo di Cadore, Belluno, Veneto, Italia",restaurant,POINT (12.287402657783927 46.585277)
60,,Belluno,Veneto,"Forcella Longeres, Auronzo di Cadore (BL)",Rifugio Auronzo,,,,,,,"['46.6121167', '46.612293', '12.2959768', '12.2963153']","Rifugio Auronzo, Forcella Longeres, Auronzo di Cadore (BL), Auronzo di Cadore, Belluno, Veneto, Italia",alpine_hut,POINT (12.296145638380182 46.612203550000004)
61,,Belluno,Veneto,Sentiero avvicinamento Ferrata Cengia Gabriella,Rifugio Carducci,,,,,,,"['46.6150572', '46.6152264', '12.3734685', '12.3736935']","Rifugio Carducci, Sentiero avvicinamento Ferrata Cengia Gabriella, Auronzo di Cadore, Belluno, Veneto, 32041, Italia",alpine_hut,POINT (12.373581037116196 46.61513085)
62,,Belluno,Veneto,563,,,,,,,,"['46.388398', '46.3957803', '12.0145495', '12.0329004']","Rifugio Tissi, 563, Alleghe, Belluno, Veneto, 32022, Italia",goods,POINT (12.0145495 46.3957803)
63,,Belluno,Veneto,Ciclabile Auronzo - Misurina,Bivacco Dino e Plinio Toso,,,,,,,"['46.5147182', '46.5147492', '12.3142754', '12.31432']","Bivacco Dino e Plinio Toso, Ciclabile Auronzo - Misurina, S. Marco, Auronzo di Cadore, Belluno, Veneto, Italia",shelter,POINT (12.31429769454023 46.5147337)
64,Brenzone sul Garda,Verona,Veneto,Rifugio Barana al telegrafo,,,,,,,,"['45.6949857', '45.7149857', '10.8202329', '10.8402329']","Rifugio Barana al telegrafo, Brenzone sul Garda, Verona, Veneto, Italia",locality,POINT (10.8302329 45.7049857)
65,Val di Zoldo,Belluno,Veneto,Tap da le parole,,,,,,,,"['46.3999817', '46.4047036', '12.0705091', '12.0805327']","Rifugio Coldai, Tap da le parole, Val di Zoldo, Belluno, Veneto, Italia",goods,POINT (12.0706095 46.400029)
66,,Belluno,Veneto,Sentiero Durissini,Rifugio Città di Carpi,,,,,https://rifugiocittadicarpi.com,,"['46.5622533', '46.5624015', '12.2907386', '12.2909069']","Rifugio Città di Carpi, Sentiero Durissini, Auronzo di Cadore, Belluno, Veneto, Italia",restaurant,POINT (12.290812986625852 46.56234765)
67,Comun General de Fascia,Provincia di Trento,Trentino-Alto Adige/Südtirol,Via Ferrata Marmolada Cresta Ovest,Rifugio Onorio Falier,,,,,,,"['46.4247771', '46.4249155', '11.8626158', '11.8628201']","Rifugio Onorio Falier, Via Ferrata Marmolada Cresta Ovest, Rocca Pietore, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (11.862711564343329 46.42484435)
68,,Belluno,Veneto,Gores de Federa,Rifugio Croda da Lago,,,,,http://www.crodadalago.it,,"['46.4864333', '46.4865749', '12.1055955', '12.1059136']","Rifugio Croda da Lago, Gores de Federa, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia",restaurant,POINT (12.105760300089411 46.4864977)
69,,Pordenone,Friuli-Venezia Giulia,Diretta a Cima Manera,Rifugio Carlo e Massimo Semenza,,,,,,,"['46.1340176', '46.1341523', '12.4896132', '12.4897734']","Rifugio Carlo e Massimo Semenza, Diretta a Cima Manera, Barcis, Pordenone, Friuli-Venezia Giulia, Italia",alpine_hut,POINT (12.489693312962038 46.13409245)
70,,Belluno,Veneto,Cengia del Doge,Rifugio Pietro Galassi,,,,,,,"['46.4705629', '46.470802', '12.2618509', '12.2623112']","Rifugio Pietro Galassi, Cengia del Doge, Auronzo di Cadore, Belluno, Veneto, Italia",alpine_hut,POINT (12.262081014467569 46.47068215)
71,Sovramonte,Belluno,Veneto,CAI 820,Rifugio Giorgio Dal Piaz,20 june-20 september,,,,,info@rifugiodalpiaz.com,"['46.0891759', '46.0893442', '11.8423185', '11.8425175']","Rifugio Giorgio Dal Piaz, CAI 820, Sovramonte, Belluno, Veneto, 32034, Italia",alpine_hut,POINT (11.842417182004818 46.089254100000005)
72,Comelico Superiore,Belluno,Veneto,Ferrata Roghel,Rifugio Antonio Berti,,,,,http://www.rifugioberti.it,,"['46.6309066', '46.6310692', '12.4056459', '12.4058881']","Rifugio Antonio Berti, Ferrata Roghel, Comelico Superiore, Belluno, Veneto, Italia",alpine_hut,POINT (12.405763768623686 46.630991249999994)
73,Forni di Sopra,Udine,Friuli-Venezia Giulia,,,,,,,,,"['46.3767796', '46.3768796', '12.5642024', '12.5643024']","Cima del Rifugio, Forni di Sopra, Udine, Friuli-Venezia Giulia, 33024, Italia",peak,POINT (12.5642524 46.3768296)
74,,Roma Capitale,Lazio,Via Barbarossa,,,,,,,,"['41.733051', '41.733151', '12.7379262', '12.7380262']","Rifugio Snupi, Via Barbarossa, Rocca di Papa, Roma Capitale, Lazio, 00074, Italia",dog_park,POINT (12.7379762 41.733101)
75,,Belluno,Veneto,Ferrata Vandelli,Rifugio Vandelli,,,,,,,"['46.5215982', '46.5217472', '12.226502', '12.2267336']","Rifugio Vandelli, Ferrata Vandelli, Cortina d'Ampezzo, Belluno, Veneto, Italia",alpine_hut,POINT (12.22661793450773 46.521673449999994)
76,,Belluno,Veneto,Salita al Col de la Puina,Rifugio Città di Fiume,,,,,http://www.rifugiocittadifiume.it/,info@rifugiocittadifiume.it,"['46.4368434', '46.4369645', '12.1224828', '12.1226712']","Rifugio Città di Fiume, Salita al Col de la Puina, Borca di Cadore, Belluno, Veneto, 32040, Italia",alpine_hut,POINT (12.122577014912281 46.4369012)
77,,Belluno,Veneto,Praciadelan,Rifugio Chiggiato,,,,,,,"['46.4827918', '46.4828912', '12.347347', '12.3475205']","Rifugio Chiggiato, Praciadelan, Calalzo di Cadore, Belluno, Veneto, 32042, Italia",alpine_hut,POINT (12.34743375 46.4828415)
78,Val di Zoldo,Belluno,Veneto,Traccia Sud per la Forcella del Palon,Rifugio Sommariva al Pramperet,,,yes,,,,"['46.2888548', '46.2891003', '12.1634493', '12.1638407']","Rifugio Sommariva al Pramperet, Traccia Sud per la Forcella del Palon, Longarone, Val di Zoldo, Belluno, Veneto, 32012, Italia",alpine_hut,POINT (12.163697330601497 46.28897945)
79,Val di Zoldo,Belluno,Veneto,Ferrata Gianni Costantini,Rifugio Bruto Carestiato,,,yes,,,,"['46.3213485', '46.321495', '12.0703687', '12.0705944']","Rifugio Bruto Carestiato, Ferrata Gianni Costantini, Agordo, Val di Zoldo, Belluno, Veneto, Italia",alpine_hut,POINT (12.07048156937709 46.32142175)
80,,Belluno,Veneto,Via normale Punta Taiola,Rifugio San Marco,,,,,,,"['46.4765853', '46.4767503', '12.2278869', '12.2281645']","Rifugio San Marco, Via normale Punta Taiola, San Vito di Cadore, Belluno, Veneto, 32046, Italia",alpine_hut,POINT (12.227995260962235 46.4766724)
81,Venas di Cadore,Belluno,Veneto,Pravalan Ronco Pilon,Rifugio Antelao,,,,,,,"['46.4479533', '46.4481287', '12.3246553', '12.3248203']","Rifugio Antelao, Pravalan Ronco Pilon, Vallesina, Venas di Cadore, Valle di Cadore, Belluno, Veneto, Italia",alpine_hut,POINT (12.32473941445842 46.448053900000005)
82,Gosaldo,Belluno,Veneto,Sentiero Col de la Luna Rifugio Scarpa,,,,,,,,"['46.2436813', '46.2537359', '11.9424607', '11.9568065']","Sentiero Col de la Luna Rifugio Scarpa, Voltago Agordino, Gosaldo, Belluno, Veneto, Italia",path,POINT (11.9469768 46.2439471)
83,Comunità di Primiero,Provincia di Trento,Trentino-Alto Adige/Südtirol,Strada forestale Neva,Rifugio Bruno Boz,,,,,,,"['46.1465136', '46.1466459', '11.9163531', '11.916555']","Rifugio Bruno Boz, Strada forestale Neva, Malga Neva Seconda, Transacqua, Cesiomaggiore, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (11.916456003021581 46.146594050000004)
84,,Belluno,Veneto,Trói Còsta del Bàga,Rifugio Mario Vazzoler,,,,87,,,"['46.3540121', '46.3542286', '12.030884', '12.0311097']","Rifugio Mario Vazzoler, Trói Còsta del Bàga, Taibon Agordino, Belluno, Veneto, 32027, Italia",alpine_hut,POINT (12.031033572344501 46.35412715)
85,,Belluno,Veneto,Sentiero della Casera della Cengia,Rifugio Pian de Fontana,,,,,,,"['46.2617878', '46.2618803', '12.1759635', '12.1762266']","Rifugio Pian de Fontana, Sentiero della Casera della Cengia, Longarone, Belluno, Veneto, Italia",alpine_hut,POINT (12.176095048706669 46.261832600000005)
86,Val di Zoldo,Belluno,Veneto,al Piccolo Belvedere,Rifugio Giovanni Angelini,,,yes,28,,,"['46.3263434', '46.3264465', '12.1747722', '12.1749228']","Rifugio Giovanni Angelini, al Piccolo Belvedere, Val di Zoldo, Belluno, Veneto, 32012, Italia",alpine_hut,POINT (12.174847503216188 46.3263949)
87,,Belluno,Veneto,761,Baita Malgonèra,,,,20,http://www.caipontesalgareda.it/rifugi.asp?nome=MALGA%20MALGONERA,,"['46.3143694', '46.3144757', '11.927179', '11.9273256']","Baita Malgonèra, 761, Taibon Agordino, Belluno, Veneto, Italia",shelter,POINT (11.927252309392419 46.3144226)
88,,Belluno,Veneto,Strada Provinciale 25 del Passo Valles,Rifugio Bottari,,,no,12,,,"['46.3400126', '46.3401275', '11.8515015', '11.8516653']","Rifugio Bottari, Strada Provinciale 25 del Passo Valles, Ganz, Falcade, Belluno, Veneto, Italia",alpine_hut,POINT (11.851583393578917 46.340070850000004)
89,,Belluno,Veneto,Sentiero Sperti,Rifugio 7° Alpini,,,yes,68,,,"['46.2218727', '46.22202', '12.1886717', '12.1888708']","Rifugio 7° Alpini, Sentiero Sperti, Belluno, Veneto, Italia",alpine_hut,POINT (12.188775249914382 46.22193025)
90,Comunità Montana Agno-Chiampo,Vicenza,Veneto,Strada delle Siebe,,,,,,,,"['45.7263791', '45.7264341', '11.1707172', '11.1708462']","Rifugio Schio, Strada delle Siebe, Recoaro Terme, Comunità Montana Agno-Chiampo, Vicenza, Veneto, Italia",yes,POINT (11.1707817 45.726406600000004)
91,Cimolais,Pordenone,Friuli-Venezia Giulia,Via Comune,,,,,,,,"['46.3390268', '46.3391555', '12.3966865', '12.3968468']","Casera Bosconero, Via Comune, Cimolais, Pordenone, Friuli-Venezia Giulia, Italia",collapsed,POINT (12.39676699159028 46.339091350000004)
92,Appennino Reggiano,Reggio nell'Emilia,Emilia-Romagna,Vecchia variante invernale Rif.Segheria - Rif.Battisti,Rifugio Casa del Custode dell'Abetina Reale,,,,,,,"['44.246172', '44.2462907', '10.4303138', '10.4304803']","Rifugio Casa del Custode dell'Abetina Reale, Vecchia variante invernale Rif.Segheria - Rif.Battisti, Civago, Villa Minozzo, Appennino Reggiano, Reggio nell'Emilia, Emilia-Romagna, Italia",alpine_hut,POINT (10.430397043629906 44.2462314)
93,,Belluno,Veneto,Sentiero della Casera della Cengia,Rifugio Furio Bianchet,,,,,,,"['46.2433941', '46.2435545', '12.1609297', '12.1612054']","Rifugio Furio Bianchet, Sentiero della Casera della Cengia, Longarone, Belluno, Veneto, Italia",alpine_hut,POINT (12.161067211512169 46.24347675)
94,Comunità Montana Agno-Chiampo,Vicenza,Veneto,Via La Piatta,Rifugio Bepi Bertagnoli,,,,,http://www.rifugiobertagnoli.it,lapiatta@libero.it,"['45.6732721', '45.6734125', '11.1650407', '11.1652925']","Rifugio Bepi Bertagnoli, Via La Piatta, Crespadoro, Comunità Montana Agno-Chiampo, Vicenza, Veneto, 36070, Italia",alpine_hut,POINT (11.16516659557308 45.67333765)
